k_bad,instance,strategy,growth
0,53,robust_G0,0.100568097927521
0,53,robust_G1,0.09482938615919144
0,53,robust_G2,0.08503217903196485
0,53,robust_G3,0.06467223045072659
0,53,robust_G6,0.001692374421626573
0,53,equal_weight,0.09560329999116832
0,53,oracle_kelly,0.10860502414418594
0,54,naive_kelly,0.06967027077020971
0,54,robust_G0,0.06931393818289816
0,54,robust_G1,0.0701119149379294
0,54,robust_G2,0.07093424020414749
0,54,robust_G3,0.07069019863269048
0,54,robust_G6,0.045109432470980676
0,54,equal_weight,0.057556289065230776
0,54,oracle_kelly,0.07258527058499561
0,55,naive_kelly,0.066348206647027
0,55,robust_G0,0.06598319278777458
0,55,robust_G1,0.06638793967273202
0,55,robust_G2,0.05255096860344617
0,55,robust_G3,0.03295512906440273
0,55,robust_G6,0.014907332396854942
0,55,equal_weight,0.06351219526979261
0,55,oracle_kelly,0.06884089384668528
0,56,naive_kelly,0.10084500021375821
0,56,robust_G0,0.10064912059739074
0,56,robust_G1,0.0896494957566286
0,56,robust_G2,0.06676846291638985
0,56,robust_G3,0.039967654304834906
0,56,robust_G6,0.012334995512022195
0,56,equal_weight,0.09691568293967856
0,56,oracle_kelly,0.10252925444037575
0,57,naive_kelly,0.09929700277300231
0,57,robust_G0,0.09933219576043925
0,57,robust_G1,0.09350738396184063
0,57,robust_G2,0.09364462866708517
0,57,robust_G3,0.09370783701930221
0,57,robust_G6,0.05010990620282333
0,57,equal_weight,0.09838648858440148
0,57,oracle_kelly,0.1019065368558539
0,58,naive_kelly,0.05780302673011417
0,58,robust_G0,0.05793256115866883
0,58,robust_G1,0.05521145966877192
0,58,robust_G2,0.04406722189583771
0,58,robust_G3,0.027141137003113748
0,58,robust_G6,0.01440420455829388
0,58,equal_weight,0.049088003998590604
0,58,oracle_kelly,0.05891309142302882
0,59,naive_kelly,0.06042102117311874
0,59,robust_G0,0.060197928265089545
0,59,robust_G1,0.06145356013294606
0,59,robust_G2,0.04940909256572182
0,59,robust_G3,0.022923396115294377
0,59,robust_G6,0.010169284337343938
0,59,equal_weight,0.05254122729381835
0,59,oracle_kelly,0.06572587270743771
0,60,naive_kelly,0.052556265149038675
0,60,robust_G0,0.052641212883259056
0,60,robust_G1,0.05504858739709753
0,60,robust_G2,0.04303139973798854
0,60,robust_G3,0.018005993170026543
0,60,robust_G6,0.002658373337672407
0,60,equal_weight,0.05190508583523408
0,60,oracle_kelly,0.06057565673455092
0,61,naive_kelly,0.0678532201021696
0,61,robust_G0,0.06759825492893778
0,61,robust_G1,0.06675731096159264
0,61,robust_G2,0.05855657369264967
0,61,robust_G3,0.044625944795096906
0,61,robust_G6,0.00893347602670615
0,61,equal_weight,0.0658468633525958
0,61,oracle_kelly,0.06993680465406851
0,62,naive_kelly,0.0630400027200289
0,62,robust_G0,0.06290132971390551
0,62,robust_G1,0.0606169825598072
0,62,robust_G2,0.04493344011346748
0,62,robust_G3,0.03432056281669131
0,62,robust_G6,0.01847370458481211
0,62,equal_weight,0.05349183244578948
0,62,oracle_kelly,0.06835424898871684
0,63,naive_kelly,0.0625143627380716
0,63,robust_G0,0.06275314982439942
0,63,robust_G1,0.062100037321660695
0,63,robust_G2,0.058174282881453515
0,63,robust_G3,0.044181974922075797
0,63,robust_G6,0.027814642493627695
0,63,equal_weight,0.05062296601680926
0,63,oracle_kelly,0.0651733608167483
0,64,naive_kelly,0.06392256296661031
0,64,robust_G0,0.0634424112092293
0,64,robust_G1,0.06326132394267359
0,64,robust_G2,0.05357812447230739
0,64,robust_G3,0.041596564041540225
0,64,robust_G6,0.01973254928436185
0,64,equal_weight,0.06671680186827655
0,64,oracle_kelly,0.07426868555809624
0,65,naive_kelly,0.03307082675653161
0,65,robust_G0,0.03294188860604445
0,65,robust_G1,0.020699354377983245
